"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"The University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Rejected via Other on 6 Feb 2018 ","U","8 Feb 2018","I got a mass email from the asst. director of the program, indicating all the interview invitations were sent."
"Boston University (BU)","CDDS Speech Pathology/ Communication Disorder/ Communication Disorders, Masters (F18)","Other via Other on 8 Feb 2018 ","O","8 Feb 2018","Has anyone heard from BU about interviews yet? Or does anyone know when were suppose to hear?"
"Boston University - Fredrick S. Pardee School Of Global Studies","Master Of Arts In International Affairs, Masters (F18)","Accepted via E-mail on 7 Feb 2018 Undergrad GPA: 3.30GRE General (V/Q/W): 161/153/4.50GRE Subject: n/a♦","I","7 Feb 2018","Accepted with $5k a year in funding. I was worried about my mediocre GPA and low quant score, but I had a strong SoP and LoRs, and I expect my volunteer experience made a difference (spent the past year working with refugees, PoWs, and survivors of torture/political violence). Good luck everyone! :)"
"Boston University","Physics, PhD (F18)","Accepted via E-mail on 7 Feb 2018 Undergrad GPA: 3.68GRE General (V/Q/W): 165/157/99.99GRE Subject: 990♦","U","7 Feb 2018","Hep-ph+cosmology, 1 publication, 1 in preparation, strong letters, SUB 990"
"Boston University","Computer Science, PhD (F18)","Accepted via E-mail on 7 Feb 2018 Undergrad GPA: 3.60GRE General (V/Q/W): 163/165/4.50GRE Subject: n/a♦","A","7 Feb 2018","Excited! I heard they were accepting very few students due to high yield last year."
"Boston University Pardee School Of Global Studies","International Affairs (MAIA), Masters (F18)","Accepted via E-mail on 7 Feb 2018 ","A","7 Feb 2018","+ $10k scholarship annually"
"Boston University School Of Public Health","BioStatistics & Epidemiology, Masters (F18)","Accepted via E-mail on 6 Feb 2018 Undergrad GPA: 3.20GRE General (V/Q/W): 163/168/4.00GRE Subject: n/a♦","A","6 Feb 2018",""
"The University Of Massachusetts (Boston)","Adult Clinical Psychology, PhD (F18)","Rejected via E-mail on 6 Feb 2018 ","A","6 Feb 2018",""
"The University Of Massachusetts Boston","Adult Clinical Psychology, PhD (F18)","Rejected via E-mail on 6 Feb 2018 ","A","6 Feb 2018",""
"Boston University (School Of Theology)","Theology, PhD (F18)","Interview via E-mail on 6 Feb 2018 Undergrad GPA: 3.83GRE General (V/Q/W): 168/157/5.00GRE Subject: n/a♦","A","6 Feb 2018",""
"Boston University - Fredrick S. Pardee School Of Global Studies","International Affairs, Masters (S18)","Other via Other on 6 Feb 2018 ","A","6 Feb 2018","To the person accepted to BU with funding, could you please provide information about your GPA, GRE, research, etc?"
"Boston University Pardee School Of Global Studies","International Affairs, Masters (F18)","Other via E-mail on 3 Feb 2018 ","A","6 Feb 2018","To the question from the other post, I am an American who was notified for acceptance via email. Included was also an offer of $10,000 for my first semester. I hope you hear back soon!"
"Boston University School Of Public Health","Biostatistics And Epidemiology, Masters (F18)","Accepted via E-mail on 5 Feb 2018 ","A","5 Feb 2018",""
"Boston University - Fredrick S. Pardee School Of Global Studies","International Affairs, Masters (F18)","Other via Other on 5 Feb 2018 Undergrad GPA: 3.73GRE General (V/Q/W): 146/143/4.00GRE Subject: n/a♦","A","5 Feb 2018","waiting to hear back but this is the poster on Feb 3, did you actually hear back and are you an international student or American? been waiting forever for decision."
"Boston University Questrom School Of Business","Organizational Behavior, PhD (F18)","Interview via E-mail on 25 Jan 2018 ","A","3 Feb 2018","Invitation for several skype interviews"
"Boston University Pardee School Of Global Studies","International Affairs, Masters (F18)","Accepted via E-mail on 2 Feb 2018 ","","3 Feb 2018",""
"Boston University","Electrical Engineering, PhD (F18)","Accepted via E-mail on 2 Feb 2018 ","A","2 Feb 2018","Distinguished Fellowship!"
"Boston University (Questrom)","Accounting, PhD (F18)","Interview via E-mail on 17 Jan 2018 ","O","1 Feb 2018",""
"The University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Other via Other on 1 Feb 2018 ","A","1 Feb 2018","Has anyone been contacted for an interview with POIs: SHS or JR?"
"Boston University School Of Public Health","Epidemiology, PhD (F18)","Interview via E-mail on 31 Jan 2018 ","A","31 Jan 2018","Invited to their Prospective Doctoral Student Day!"
"The University Of Massachusetts Boston","Counseling Psychology, PhD (F18)","Rejected via E-mail on 29 Jan 2018 ","A","31 Jan 2018",""
"Boston University School Of Public Health","BioStatistics & Epidemiology, Masters (F18)","Accepted via E-mail on 31 Jan 2018 ","I","31 Jan 2018","Not very surprised."
"Boston University School Of Public Health","Epidemiology, Masters (F18)","Accepted via E-mail on 30 Jan 2018 ","","31 Jan 2018",""
"Boston University School Of Public Health","Environmental Health And Toxicology, PhD (F18)","Rejected via E-mail on 15 Jan 2018 Undergrad GPA: 3.30GRE General (V/Q/W): 162/153/4.50GRE Subject: n/a♦","A","29 Jan 2018","I applied for a PhD and they offered a spot in masters program which did not align with my interests."
"Boston University Questrom School Of Business","Marketing, PhD (F18)","Interview via E-mail on 27 Jan 2018 ","O","28 Jan 2018",""
"Boston University (Questrom)","Marketing PhD, PhD (F18)","Interview via E-mail on 28 Jan 2018 ","U","28 Jan 2018","Folks who are done with interviews from other universities could you please tell me how I can prepare. Thanks !"
"The University Of Massachusetts (Boston)","Child Clinical Psychology, PhD (F18)","Other via Other on 25 Jan 2018 ","A","25 Jan 2018","UMass Boston posters - would you mind putting the initials of your POI? Thanks!"
"Boston University School Of Public Health","Health Services Research, PhD (F18)","Interview via E-mail on 23 Jan 2018 ","A","25 Jan 2018","Invited to prospective students day in February."
"The University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Interview via E-mail on 23 Jan 2018 ","","24 Jan 2018","email from POI"
"University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Interview via E-mail on 24 Jan 2018 ","A","24 Jan 2018","Got email from POI (HL) for an invitation to interview. Dates 2/26 and 3/2."
"The University Of Massachusetts (Boston)","Clinical Psychology, PhD (F18)","Interview via E-mail on 23 Jan 2018 ","","24 Jan 2018","Email from POI (PN)"
"The University Of Massachusetts Boston","Clinical Psychology, PhD (F18)","Interview via E-mail on 23 Jan 2018 ","","24 Jan 2018","Voicemail and email from PI"
"The University Of Massachusetts Boston","Counseling Psychology, PhD (F18)","Rejected via E-mail on 22 Jan 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 160/156/4.50GRE Subject: n/a♦","A","23 Jan 2018",""
"Boston University School Of Public Health","Health Services Research, PhD (F18)","Interview via E-mail on 22 Jan 2018 ","A","23 Jan 2018","Invited to campus to interview in-person"
"The University Of Massachusetts Boston","Developmental And Brain Sciences, PhD (F18)","Interview via E-mail on 22 Jan 2018 ","A","23 Jan 2018",""
"Boston University","Biomedical Science (PIBS): Immunology, PhD (F18)","Rejected via E-mail on 22 Jan 2018 Undergrad GPA: 2.75GRE General (V/Q/W): 155/152/4.50GRE Subject: n/a♦","A","23 Jan 2018","Generic rejection. Applied before in 2015 and received similar results. Expected."
