"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"Carnegie  Mellon University (CMU)","(Computer Science ) General, PhD (F18)","Other via Other on 9 Feb 2018 ","O","9 Feb 2018","Are the official results for the CS PhD out yet? (i.e outside ML / LTI). Does anyone know more about the timeline."
"Carnegie  Mellon University","Computer Science (Robotics Institute), PhD (F18)","Accepted via Phone on 3 Feb 2018 Undergrad GPA: 4.00GRE General (V/Q/W): 151/166/3.50GRE Subject: n/a","U","9 Feb 2018","Got a call and email from the RI CMU on 3rd Feb."
"Carnegie  Mellon University","Computer Science (Robotics Institute), PhD (F18)","Accepted via Phone on 2 Feb 2018 ","A","8 Feb 2018","Computer Vision/Robotics"
"Carnegie  Mellon University (CMU)","(Computer Science, Masters (F18)","Accepted via E-mail on 7 Feb 2018 ","U","8 Feb 2018","No interview, MS CV"
"Carnegie Mellon  University (CMU)","Master Of Science - Computer Vision (MSCV), Masters (F18)","Accepted via E-mail on 7 Feb 2018 ","I","8 Feb 2018",""
"Carnegie Mellon University (CMU) - Robotics Institute","Master Of Science - Computer Vision (MSCV), Masters (F18)","Accepted via E-mail on 7 Feb 2018 ","I","7 Feb 2018","Super excited! Finally receive some information from CMU."
"Carnegie Mellon  University (CMU)","Computer Science Department (CSD), PhD (F18)","Accepted via E-mail on 7 Feb 2018 ","I","7 Feb 2018","Theory. Email from POI. No interview. Did research at CMU."
"Carnegie  Mellon University (CMU)","Computer Science,LTI,MLT, Masters (F18)","Accepted via E-mail on 5 Feb 2018 Undergrad GPA: 3.06GRE General (V/Q/W): 147/160/4.00GRE Subject: n/a","U","7 Feb 2018","Good research experience, LORs, SOP, and video"
"Carnegie  Mellon University (CMU)","Computer Science, PhD (F18)","Accepted via Phone on 7 Feb 2018 Undergrad GPA: 3.70GRE General (V/Q/W): 163/167/5.50GRE Subject: n/a","","7 Feb 2018","Called by POI."
"Carnegie Mellon University (CMU)","Computer Science, PhD (F18)","Accepted via Phone on 7 Feb 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 166/168/4.50GRE Subject: n/a","A","7 Feb 2018","POI I interviewed with a week back told me I was admitted! Field: architecture"
"Carnegie  Mellon University (CMU)","(Computer Science ), PhD (F18)","Accepted via E-mail on 6 Feb 2018 Undergrad GPA: 3.96GRE General (V/Q/W): 162/166/4.50GRE Subject: n/a","A","6 Feb 2018","Unofficial Email from POI, ~12:00 PST. No interview, this is my first correspondence with anyone from the university since I submitted my application."
