"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"UIUC (University Of Illinois Urbana-Champaign)","(Computer Science, PhD (F18)","Accepted via Other on 8 Feb 2018 ","I","8 Feb 2018","Interview on 1/26.  POI told that he is recommending and I would get the official email in a week. Yet to get the email, though."
"Illinois Urbana Champaign (UIUC)","(Computer Science, PhD (F18)","Interview via E-mail on 8 Feb 2018 ","I","8 Feb 2018","To UIUC guys, please tell me how much days after interview it took for the official email?
It has been 10 days already."
"Illinois At Urbana Champaign (UIUC)","(Computer Science - Theory), PhD (F18)","Rejected via E-mail on 7 Feb 2018 ","U","8 Feb 2018","encouraged to join the master of science program"
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Other via Other on 7 Feb 2018 ","U","7 Feb 2018","Anyone knows if UIUC has finished admitting or still gradually releasing the results? Not too confident but still wish to evaluate my chances..."
"Illinois Urbana Champaign (UIUC)","(Computer Science, PhD (F18)","Accepted via E-mail on 6 Feb 2018 Undergrad GPA: n/aGRE General (V/Q/W): 165/167/4.00GRE Subject: n/a","I","6 Feb 2018","IITK EE grad. Others: EPFL, UMCP"
"Illinois Urbana Champaign (UIUC)","(Computer Science ), PhD (F18)","Accepted via E-mail on 26 Jan 2018 Undergrad GPA: 3.76GRE General (V/Q/W): 155/169/4.50GRE Subject: n/a","I","5 Feb 2018","3 internships. 2 top-tier conferences published (1st and 2nd author). Aligned interests with POI. Instant RA for the first year."
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 5 Feb 2018 ","A","5 Feb 2018","Undergrad: UIUC CS, MS: Stanford CS. 7 non-first author pubs. 3 years in industry."
"Illinois At Urbana Champaign (UIUC)","(Computer Science, PhD (F18)","Other via Other on 5 Feb 2018 ","O","5 Feb 2018","Anybody knows when the final results are coming out?"
"Illinois At Urbana Champaign (UIUC)","(Computer Science ), Masters (F18)","Other via Other on 2 Feb 2018 ","O","2 Feb 2018","To the poster below, was the rejection for PhD? It is early for MS results to come out"
"Illinois At Urbana Champaign (UIUC)","Computer Science, Masters (F18)","Rejected via E-mail on 2 Feb 2018 Undergrad GPA: 3.90GRE General (V/Q/W): 163/170/4.50GRE Subject: n/a","I","2 Feb 2018","9.4 gpa, undergrad from iit, 1 research publication in top conference, don't know what else do they want"
"University Of Illinois Urbana (UIUC)","(Computer Science, PhD (F18)","Accepted via E-mail on 30 Jan 2018 ","U","30 Jan 2018","Accepted without interview.  CV/NLP"
"The University Of Illinois At Urbana-Champaign (UIUC)","Computer Science, PhD (F18)","Accepted via E-mail on 26 Jan 2018 ","I","27 Jan 2018","Face-to-face meet months before. No interview."
"The University Of Illinois At Urbana-Champaign (UIUC)","(Computer Science ), PhD (F18)","Other via Other on 27 Jan 2018 ","O","27 Jan 2018","To the poster below, my area is data mining. Had an interview with POI two weeks ago."
"Illinois At Urbana Champaign (UIUC)","Computer Science, PhD (F18)","Other via Website on 27 Jan 2018 ","U","27 Jan 2018","To the poster below, could you let us know your area of specialization."
